City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
544,Sao+Felix+Do+Xingu,BR,84.72,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
545,Lichinga,MZ,72.07,moderate rain,-13.3128,35.2406,Residencial Bendiak
546,Mocuba,MZ,83.46,light rain,-16.8392,36.9856,Phama Lodge
552,Tucurui,BR,86.83,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
553,Isabela,PH,78.67,overcast clouds,6.7085,121.9711,Isawad Resort
554,Soure,BR,81.73,broken clouds,-0.7167,-48.5233,Casarão
557,Tuy+Hoa,VN,70.84,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
558,Manono,CD,86.74,clear sky,-7.3,27.4167,Hotel hewa bora
559,Inirida,CO,87.26,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
561,Kuala+Terengganu,MY,78.8,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
563,Gulu,UG,85.78,overcast clouds,2.7746,32.299,ACHOLI INN
568,Manokwari,ID,79.11,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
569,Maloma,PH,73.4,overcast clouds,15.1135,120.0639,Brandenburg Resort
571,Arona,ES,73.0,clear sky,28.0996,-16.680999999999997,Paradise Court
572,Santa+Isabel+Do+Rio+Negro,BR,86.02,broken clouds,-0.4139,-65.0192,Hotel GSA
573,Sri+Aman,MY,75.2,heavy intensity rain,1.2376,111.4621,Seri Simanggang Hotel
576,Porto+Novo,BJ,89.6,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
581,Pangai,TO,81.14,light rain,-19.8,-174.35,Ha'apai Beach Resort
582,Alofi,NU,75.2,moderate rain,-19.0595,-169.9187,Taloa Heights
583,Nabinagar,BD,71.6,haze,23.8917,90.9733,ওমান হাউজ
586,Ararangua,BR,88.07,overcast clouds,-28.9347,-49.4858,Hotel Mazzuco
588,Nova+Olimpia,BR,85.53,broken clouds,-14.7972,-57.2881,Motel glamour
590,Rocha,UY,89.78,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
594,Pozo+Colorado,PY,86.29,broken clouds,-23.4923,-58.7972,Hospedaje la Amistad
596,Kempsey,AU,72.0,scattered clouds,-31.0833,152.8333,Park Drive Motel
598,Soyo,AO,84.2,light rain,-6.1349,12.3689,Hotel Mpampa
599,Bandar-E+Lengeh,IR,73.4,clear sky,26.5579,54.8807,کافی نت پارس
601,Nakambala,ZM,81.03,overcast clouds,-15.8324,27.7799,Staff Area
603,Galle,LK,78.37,light rain,6.0367,80.217,Amangalla
604,Tado,CO,80.13,broken clouds,5.266,-76.5649,Onney Quinto Renteria
607,Port-Gentil,GA,86.0,light rain,-0.7193,8.7815,Fengshui Residence
608,Pacasmayo,PE,75.43,clear sky,-7.4006,-79.5714,Hotel Libertad
610,Tual,ID,83.55,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
614,Saint-Joseph,RE,82.4,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
622,Prado,BR,83.12,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
623,Bowen,AU,77.0,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
624,Baculin,PH,76.75,overcast clouds,7.4525,126.5842,Shovy's Cove
628,Paita,PE,82.4,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
632,Sawang+Daen+Din,TH,73.0,scattered clouds,17.4753,103.4575,บ้านเจเน็ต คอมพิวเตอร์
633,Port+Hedland,AU,84.2,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
638,Bonga,ET,76.24,broken clouds,7.2833,36.2333,Noona Noona Hotel
639,Sampit,ID,75.79,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
642,Watsa,CD,91.24,clear sky,3.0372,29.5355,Hôtel Le Pacifique
645,Kralendijk,BQ,80.6,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
