City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
73,Rio+Claro,BR,95.0,clear sky,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
81,Hualmay,PE,76.78,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
82,Galeana,MX,75.15,clear sky,24.8333,-100.0667,Albergue Rural Juvenil Galeana
97,Ahuimanu,US,77.0,light rain,21.4447,-157.8378,Paradise Bay Resort
98,Kattivakkam,IN,75.2,haze,13.2167,80.3167,Raj's villa
100,Hambantota,LK,77.25,overcast clouds,6.1241,81.1185,Bungalow 63
101,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
102,Bengkulu,ID,75.06,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
105,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
109,Poum,NC,78.03,scattered clouds,-20.2333,164.0167,Gîte kajeon
110,Tahoua,NE,73.44,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
111,Road+Town,VG,75.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
116,Arraial+Do+Cabo,BR,86.0,few clouds,-22.9661,-42.0278,Pousada Porto Praia
119,Zempoala,MX,84.2,scattered clouds,19.45,-96.4167,Panteon cempuala
120,Gizo,SB,83.89,overcast clouds,-8.103,156.8419,Imagination Island
122,Caravelas,BR,81.12,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
123,Cape+Town,ZA,72.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
134,Atuona,PF,78.93,light rain,-9.8,-139.0333,Villa Enata
135,Banfora,BF,81.55,clear sky,10.6333,-4.7667,Residences David Hebié
136,Bartica,GY,78.8,broken clouds,6.4,-58.6167,Relax Inn Hotel
137,Cockburn+Town,TC,75.2,few clouds,21.4612,-71.1419,Osprey Beach Hotel
139,Sao+Joao+Da+Barra,BR,86.0,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
140,Barahona,DO,84.2,few clouds,18.2085,-71.1008,Hotel Caribe
141,Bambous+Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
145,Cabo+San+Lucas,MX,77.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
151,Vilhena,BR,83.19,broken clouds,-12.7406,-60.1458,Hotel Mirage
152,Hithadhoo,MV,82.31,scattered clouds,-0.6,73.0833,Scoop Guest House
153,Galesong,ID,73.4,few clouds,-5.3166,119.3661,Sapriadi Appy
156,Alta+Floresta,BR,79.97,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
162,Bandarbeyla,SO,74.05,clear sky,9.4942,50.8122,JABIR HOTEL
163,Sabang,ID,81.28,clear sky,5.8933,95.3214,Hotel Citra
168,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
170,Ranot,TH,78.28,clear sky,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
172,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
174,Vao,NC,75.34,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
176,San+Andres,CO,84.2,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
178,Mumford,GH,80.33,clear sky,5.2618,-0.759,Spanish Villa
182,Cap+Malheureux,MU,78.01,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
186,Neiafu,TO,78.8,light rain,-18.65,-173.9833,Mystic Sands
189,Wollongong,AU,71.01,light rain,-34.4333,150.8833,Flinders Motel
194,Beberibe,BR,84.2,clear sky,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
