City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Zyryanka,RU,65.75,150.85,-31.85,83,100,10.85,overcast clouds
160,Fairbanks,US,64.8378,-147.7164,-7.6,77,90,1.39,light snow
161,Kiama,AU,-34.6833,150.8667,72.0,92,64,1.99,broken clouds
162,Guerrero,MX,17.6667,-100.0,77.94,32,100,3.69,overcast clouds
163,Novyy+Urengoy,RU,66.0833,76.6333,-30.32,83,100,12.01,overcast clouds
164,Sao+Joao+Da+Barra,BR,-21.6403,-41.0511,87.8,42,0,23.02,clear sky
165,Kutum,SD,14.2,24.6667,66.16,23,0,11.63,clear sky
166,Sarandi,BR,-23.4436,-51.8739,68.0,94,90,13.8,moderate rain
167,New+Norfolk,AU,-42.7826,147.0587,53.01,82,7,2.53,clear sky
168,Humaita,BR,-7.5061,-63.0208,93.04,51,78,3.58,broken clouds
169,Mitsamiouli,KM,-11.3847,43.2844,82.54,76,39,8.14,scattered clouds
170,Nikolskoye,RU,59.7035,30.7861,28.4,93,75,11.18,light snow
171,Dicabisagan,PH,17.0818,122.4157,70.12,80,98,10.29,overcast clouds
172,Esperance,AU,-33.8667,121.9,60.8,77,0,10.36,clear sky
173,Onda,ES,39.9667,-0.25,63.0,37,2,3.0,clear sky
174,Bukachacha,RU,52.9833,116.9167,-21.33,84,100,1.77,overcast clouds
175,Nabire,ID,-3.3667,135.4833,76.23,87,100,2.73,overcast clouds
176,Laguna,US,38.421,-121.4238,48.0,87,90,3.44,overcast clouds
177,Tasiilaq,GL,65.6145,-37.6368,15.8,41,75,17.27,broken clouds
178,San+Patricio,US,28.017,-97.5169,75.2,69,75,27.63,broken clouds
179,Kangaatsiaq,GL,68.3065,-53.4641,5.7,90,66,6.31,broken clouds
180,Sobolevo,RU,54.4299,31.8996,21.33,97,100,11.41,snow
181,Severo-Kurilsk,RU,50.6789,156.125,23.54,96,100,29.64,snow
182,Faridpur,BD,23.6,89.8333,69.8,64,20,9.22,haze
183,Fortuna,US,40.5982,-124.1573,51.01,71,75,23.02,broken clouds
184,Langsa,ID,4.4683,97.9683,73.78,94,51,2.24,broken clouds
185,San+Andres,CO,12.5847,-81.7006,84.2,70,40,16.11,scattered clouds
186,Trapani,IT,37.8333,12.6667,59.0,94,20,9.22,few clouds
187,Kahului,US,20.8947,-156.47,66.99,94,40,11.5,light rain
188,Karasjok,NO,69.4719,25.5112,17.6,93,75,10.36,light snow
189,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-22.85,86,100,6.2,overcast clouds
190,Muravlenko,RU,63.7898,74.523,-22.97,85,100,16.06,overcast clouds
191,Envira,BR,-7.3,-70.2167,78.69,86,72,2.35,broken clouds
192,Capaci,IT,38.1711,13.2393,64.0,67,0,12.66,clear sky
193,Cascais,PT,38.6979,-9.4215,60.01,72,40,11.5,scattered clouds
194,Hasaki,JP,35.7333,140.8333,26.6,80,20,14.41,few clouds
195,Yumen,CN,40.2833,97.2,24.51,73,0,24.2,clear sky
196,Qaanaaq,GL,77.484,-69.3632,-5.24,72,99,1.83,overcast clouds
197,Taksimo,RU,56.3444,114.8794,-35.79,74,7,1.54,clear sky
198,Charters+Towers,AU,-20.1,146.2667,72.91,84,96,5.01,overcast clouds
199,Tevaitoa,PF,-16.7833,-151.5,80.46,68,30,3.42,scattered clouds
