City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Puerto+Lempira,HN,2021-01-30 01:00:24,15.2667,-83.7667,80.6,83,40,9.17
105,Karpathos,GR,2021-01-30 00:57:56,35.507,27.2132,60.8,77,51,17.27
106,Urengoy,RU,2021-01-30 01:02:14,65.9667,78.3667,-38.42,80,1,5.7
107,Cayenne,GF,2021-01-30 00:52:54,4.9333,-52.3333,80.6,89,75,4.61
108,Alofi,NU,2021-01-30 00:57:40,-19.0595,-169.9187,80.6,83,100,11.5
109,Camana,PE,2021-01-30 00:57:50,-16.6228,-72.7111,70.38,73,0,6.22
110,Ostrovnoy,RU,2021-01-30 00:57:58,68.0531,39.5131,8.26,94,100,18.14
111,Vestmannaeyjar,IS,2021-01-30 00:53:50,63.4427,-20.2734,35.96,80,100,5.64
112,Butaritari,KI,2021-01-30 00:57:59,3.0707,172.7902,80.71,77,100,15.86
113,Bontang,ID,2021-01-30 01:02:15,0.1333,117.5,80.2,77,89,4.14
114,Narsaq,GL,2021-01-30 01:02:15,60.9167,-46.05,42.8,33,75,26.46
115,Pacific+Grove,US,2021-01-30 01:02:15,36.6177,-121.9166,53.6,66,1,6.91
116,Padang,ID,2021-01-30 01:01:03,-0.9492,100.3543,75.2,94,20,5.75
117,Garowe,SO,2021-01-30 01:02:15,8.4054,48.4845,61.11,95,9,9.17
118,Hermanus,ZA,2021-01-30 00:57:57,-34.4187,19.2345,66.0,82,86,3.0
119,Mount+Isa,AU,2021-01-30 00:53:21,-20.7333,139.5,96.8,28,81,6.91
120,Nikolskoye,RU,2021-01-30 00:53:07,59.7035,30.7861,32.0,93,90,8.95
121,Airai,TL,2021-01-30 00:58:52,-8.9266,125.4092,64.02,100,100,4.43
122,Talnakh,RU,2021-01-30 00:58:40,69.4865,88.3972,-31.58,65,3,2.91
123,Ancud,CL,2021-01-30 00:57:42,-41.8697,-73.8203,57.99,67,0,6.91
124,Port+Keats,AU,2021-01-30 01:02:16,-14.25,129.55,80.6,86,100,9.33
125,Gold+Coast,AU,2021-01-30 01:01:10,-28.0,153.4333,84.0,57,40,10.36
126,Inuvik,CA,2021-01-30 01:02:17,68.3499,-133.7218,-29.2,68,66,3.44
127,Avarua,CK,2021-01-30 00:53:11,-21.2078,-159.775,86.0,70,20,5.75
128,Constitucion,CL,2021-01-30 00:55:56,-35.3333,-72.4167,61.29,94,100,5.68
129,Shizuishan,CN,2021-01-30 00:58:17,39.2333,106.7694,25.88,74,0,6.82
130,Cabo+San+Lucas,MX,2021-01-30 00:57:50,22.8909,-109.9124,80.6,57,1,14.97
131,Genhe,CN,2021-01-30 01:02:17,50.7833,121.5167,-26.88,82,75,1.25
132,Koppies,ZA,2021-01-30 01:02:17,-27.2418,27.5742,65.05,85,92,3.22
133,Namibe,AO,2021-01-30 00:53:33,-15.1961,12.1522,73.85,73,100,5.03
134,Luderitz,NA,2021-01-30 00:53:46,-26.6481,15.1594,67.01,46,0,21.47
135,Bathsheba,BB,2021-01-30 00:53:20,13.2167,-59.5167,77.0,78,40,10.36
136,Paita,PE,2021-01-30 01:02:18,-5.0892,-81.1144,75.83,75,51,15.39
137,Moroni,KM,2021-01-30 01:02:18,-11.7022,43.2551,80.58,73,24,9.82
138,Alice+Springs,AU,2021-01-30 00:54:51,-23.7,133.8833,90.0,48,11,17.27
139,Dzaoudzi,YT,2021-01-30 01:02:18,-12.7887,45.2699,80.6,78,0,3.44
140,Bengkulu,ID,2021-01-30 00:58:05,-3.8004,102.2655,77.07,84,100,5.03
141,Mokhsogollokh,RU,2021-01-30 01:02:19,61.4681,128.9203,-40.31,80,100,1.16
142,Belmonte,BR,2021-01-30 00:58:14,-15.8631,-38.8828,78.8,73,20,10.36
143,Codrington,AU,2021-01-30 00:53:47,-38.2667,141.9667,62.13,74,100,10.74
144,New+Norfolk,AU,2021-01-30 00:57:41,-42.7826,147.0587,73.99,67,94,5.01
145,Reconquista,AR,2021-01-30 01:02:19,-29.15,-59.65,80.96,63,53,7.92
146,Pozo+Colorado,PY,2021-01-30 01:02:19,-23.4923,-58.7972,80.01,77,97,6.71
147,Nome,US,2021-01-30 00:58:32,64.5011,-165.4064,-0.4,60,40,20.71
148,Hithadhoo,MV,2021-01-30 00:53:00,-0.6,73.0833,81.52,76,48,11.74
149,Lebu,CL,2021-01-30 00:57:47,-37.6167,-73.65,56.52,90,67,4.45
150,Atuona,PF,2021-01-30 00:57:51,-9.8,-139.0333,78.75,76,4,18.16
151,Berbera,SO,2021-01-30 00:58:40,10.4396,45.0143,72.7,77,21,2.21
152,Geraldton,AU,2021-01-30 00:58:29,-28.7667,114.6,89.6,22,0,26.46
153,Cherskiy,RU,2021-01-30 00:57:56,68.75,161.3,-32.87,83,12,3.47
154,Sao+Joao+Da+Barra,BR,2021-01-30 00:53:36,-21.6403,-41.0511,78.3,79,37,24.05
155,Dwarka,IN,2021-01-30 01:02:20,22.2394,68.9678,65.7,46,0,12.37
156,Kununurra,AU,2021-01-30 00:58:20,-15.7667,128.7333,84.2,84,75,13.8
157,Vila+Franca+Do+Campo,PT,2021-01-30 01:02:21,37.7167,-25.4333,59.0,94,20,6.91
